BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,71,,A1,147 EYLANDT STREET,,10312,1,0,1,"6,150","3,090",1975,1,A1,0,2019/9/20
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6421,9,,A2,160 LIPSETT AVENUE,,10312,1,0,1,"4,008","2,700",1980,1,A2,"725,000",2019/6/28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6421,57,,A1,256 TALLMAN STREET,,10312,1,0,1,"8,000","3,389",1980,1,A1,0,2020/1/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6421,68,,A1,242 TALLMAN ST.,,10312,1,0,1,"8,000","4,186",1980,1,A1,0,2019/11/1
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6421,78,,A1,232 TALLMAN STREET,,10312,1,0,1,"8,000","3,085",1980,1,A1,"1,190,000",2019/10/2
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6424,18,,A1,240 BARCLAY AVE,,10312,1,0,1,"4,000","1,776",1975,1,A1,0,2019/11/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6424,78,,A1,27 RAE AVENUE,,10312,1,0,1,"10,000","2,104",1975,1,A1,"875,000",2019/6/5
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6453,1,,A1,477 PHILIP,,10312,1,0,1,"6,723","3,300",1996,1,A1,100,2019/10/3
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6453,1,,A1,477 PHILIP,,10312,1,0,1,"6,723","3,300",1996,1,A1,100,2019/10/3
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6453,23,,A1,501 PHILIP AVE,,10312,1,0,1,"10,110","5,060",1997,1,A1,"1,350,000",2019/6/28
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,155,,A3,155 NICOLOSI DRIVE,,10312,1,0,1,"21,480","9,375",1988,1,A3,"800,000",2019/6/21
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,220,,A3,50 NICOLOSI DRIVE,,10312,1,0,1,"25,714","6,942",1989,1,A3,"2,575,000",2019/9/4
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6499,131,,A3,14 WENDY DRIVE,,10312,1,0,1,"27,972","3,200",1985,1,A3,0,2019/10/7
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6511,104,,A2,5192 AMBOY ROAD,,10312,1,0,1,"7,240","1,144",1950,1,A2,"515,000",2019/9/4
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6513,11,,A1,20 PHILIP AVENUE,,10312,1,0,1,"4,560","1,760",1930,1,A1,"764,000",2019/8/6
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,41,,A3,40 ARBUTUS WAY,,10312,1,0,1,"17,275","3,414",1986,1,A3,0,2019/8/23
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,45,,A1,41 ARBUTUS WAY,,10312,1,0,1,"10,800","2,460",2015,1,A1,"1,150,000",2019/12/27
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,48,,A3,31 ARBUTUS WAY,,10312,1,0,1,"11,200","3,680",1985,1,A3,0,2019/10/11
